,layer,neuron,Original,Summary,Highlight,HighlightSummary,AVHS
575,25,4677,"words related to vampires, such as ""Vampire"" and ""vampires"".","tokens related to vampires, including variations of the word ""vampire"" and related terms such as ""vampire myths"" and ""vampire rain"".","words related to mythical creatures, particularly vampires.","references to fictional creatures, specifically vampires.",mentions or references to vampires.
576,26,881,"words related to a person named ""Hester"" and statistics or values associated with that person.","tokens related to names or words containing the subsequence ""ester"".",words or phrases related to proper names or titles.,"tokens related to the name ""Hester"" and words with similar patterns such as ""tester"" or ""ester"".","words or tokens related to the name ""Hester."""
577,29,4499,"words related to unity, collaboration, or coming together.","words related to unity, togetherness, and collective groups.",words related to unity or being united.,"words related to unity, togetherness, and collective identity.","words related to unity, collaboration, and coming together."
578,32,3038,references to pockets and pocket-related items.,mentions or references to items or objects that can be carried or stored in a pocket.,references to small objects that can be carried or stored in a pocket.,"references to small containers or compartments, particularly pockets.",references to pockets or objects that can be carried in a pocket.
579,42,3608,adjectives related to regular or average things or concepts.,"words related to normalcy, regularity, and commonality.",adjectives related to normal or typical things/people.,adjectives related to normal or common situations or objects.,words related to normal or common things.
580,0,927,words related to luck or fortunate events.,words related to luck and fortunate outcomes.,expressions or mentions related to good luck or fortunate outcomes.,words related to luck or fortune.,words related to luck or fortunate circumstances.
581,0,1862,words related to forced labor and coercion.,"words related to coercion, compulsion, or being compelled to do something, such as forced labor, forced transformation, or forced resignation.",words related to coercion or being forced to do something.,words related to coercion or compulsion.,words related to coercion or external pressure.
582,0,2661,"words related to geographic locations, particularly the city of Orlando.",references to specific locations or places.,"references to specific locations, specifically related to the city of Orlando.","references to specific locations, particularly the city of Orlando and the state of Florida. Additionally, it seems to identify references to specific brands or entities such as Disney and Universal Studios.",specific locations and places.
583,0,2697,references to specific locations in Manhattan.,"mentions of locations and specific places, particularly in the context of cities or neighborhoods.","tokens that refer to locations or specific places, particularly in the context of cities.","locations or specific places within a city, particularly focusing on Manhattan.",references to specific locations in Manhattan.
584,0,2888,"words related to strong emotions, specifically hate and love.",words related to strong emotions such as love or hate.,"words related to strong emotions, particularly negative ones like hate and disdain.","words related to emotions or attitudes, particularly those related to liking or disliking something or someone.","words related to emotions or attitudes, specifically love and hate."
585,0,3413,"references to the name ""Lock"" or variations of it.","words or partial words related to locks, such as ""lock"", ""locking"", ""block"", etc.",words related to legal or criminal activities.,"words related to locks, security, and legal cases.","words related to locks, such as the lock on a door or a lock of hair."
586,0,3956,references to solo musical releases or performances.,references to individual or independent actions or performances.,instances of words related to individuality or something being done alone.,references to individual or personal achievements or performances.,references to individual performance or achievement.
587,0,4717,references to an action or command to hop or register for something.,references to movement or action involving jumping or boarding.,"words related to movement or action, particularly involving jumping or quickly getting on or off something.",words related to movements or actions involving jumping or quick movements.,"words related to movement or transportation, particularly using the word ""hop""."
588,0,5029,terms related to financial and operational briefings or presentations.,"documents, titles, and activities related to providing information or updates.","words related to communication and information sharing, such as titles, briefings, and demos.","words and phrases related to formal communication or information sharing, such as titles, briefings, and documents.","words related to meetings or presentations, such as ""briefing"" or ""demo""."
589,0,5523,"questions or statements related to specifications, restrictions, or requirements.",words related to restrictions or constraints.,"words or phrases related to restrictions, limitations, or conditions.","words related to restrictions, rules, and conditions.","words related to restrictions, limitations, and requirements."
590,0,6188,words related to specific locations or places.,"words related to specific locations or names of places, particularly those with 'Bow' or 'sho' in them.",words or parts of words related to specific locations or place names.,terms related to specific locations or places.,locations or words related to locations.
591,1,366,terms related to consensus and agreement.,words related to agreement or shared opinions among a group.,references to consensus or agreements reached among a group of people.,"tokens related to collective agreement or agreement among a group of people, particularly in the context of opinions or decisions.",words related to agreement or consensus among a group.
592,1,650,words related to animal bones and turtle-related terms.,"objects or entities related to certain animals or items, such as boots, skeletons, turtles, and tires.","words related to specific types of animals, particularly turtles.","words related to specific objects or entities, such as various types of boots, skeleton, turtle, Turtles, and Shell.","words related to different types of footwear, animals, and specific brands."
593,1,790,"words related to terms and conditions, legal governance, and meeting schedules.","words related to meetings, gatherings, or compatibility.",words related to meeting requirements or expectations.,"tokens related to meetings, encounters, or fulfilling requirements/standards.",words related to meetings and requirements.
594,1,1286,words related to hubs or central points.,words related to central locations or focal points.,terms or phrases related to a central location or a center that connects multiple things or activities.,words related to centralized locations or points of connectivity.,"words related to central or focal points, often related to physical locations or technology."
595,1,1461,customer feedback and ratings.,"words related to evaluations or opinions on products, services, or experiences.","tokens related to feedback, ratings, and customer comments.","words related to reviews, ratings, and feedback.","the presence of ratings, reviews, and feedback from customers or users."
596,1,1913,"words related to military terms, such as strikes and equipment.",words related to military operations or attacks.,"terms related to military operations, attacks, and combat.",words related to military or combat actions/operations.,words related to military strikes or attacks.
597,1,2015,"words related to laws, regulations, and requirements.","words or tokens related to mandates, requirements, or compulsory actions.",words or parts of words related to legal terms or names.,"words related to legal requirements or regulations, specifically terms related to mandates.","words related to legal terms and processes, particularly those involving mandates and requirements."
598,1,2243,"references to meetings, briefings, and cancellations.",words related to meetings and gatherings for information sharing or communication.,"words related to informational meetings or updates, such as briefings or meetings being cancelled or attended.","words or phrases related to official meetings or communications, such as briefings, canceled, and sanctioned.","words related to meetings, discussions, and cancellations."
599,1,2415,words related to the use of rope in different contexts.,words that contain the substring 'ope'.,"words or phrases related to ""rope"".","words or parts of words containing ""ope"".","tokens that have the letters ""ope"" in them."
600,1,2801,words related to consciousness and philosophical concepts.,words and phrases related to consciousness and the mind.,words related to consciousness or mental state.,words related to consciousness and the mind.,words related to consciousness and spirituality.
601,1,3093,words related to forgetfulness or forgetting something.,words related to memory or remembering.,words related to remembering or not forgetting something.,words related to remembering or not forgetting.,words related to remembering or not remembering something.
602,1,3349,"words related to locations or places, such as specific cities or general terms like ""near the lake.""",references to unspecified locations or places.,phrases or words related to location or place.,words related to location or place.,words related to locations or places.
603,1,3495,words related to invitations and the act of inviting someone.,words related to invitations and involving others in activities or events.,words or phrases related to extending an invitation or being invited.,verbs related to extending invitations.,words related to invitations and extending offers.
604,1,3760,words related to direct actions or interactions.,tokens related to direct actions or direct interactions.,tokens associated with directness or direct actions/involvement.,"tokens related to direct actions, such as providing, directly, and direct.",words related to directness or a direct approach.
605,1,3847,phrases related to sexual content or activities.,"words or phrases related to the act of hanging, whether it's literal or metaphorical.",terms related to suspension or being in a hanging position.,words related to suspension or being suspended in a physical or metaphorical sense.,words or phrases related to hanging or being suspended in some way.
606,1,4101,"words related to conflicts, negotiations, and medical conditions.","terms related to medical conditions, such as ""truce,"" ""Odin,"" ""coma,"" ""lucid,"" and ""conscious.""",words or phrases related to medical conditions or treatments.,words related to medical conditions and peace-related terms/actions.,words related to medical conditions or states.
607,1,4177,words related to bridges or bridge-related information.,words related to bridges,words related to bridges and their conditions.,"words related to bridges, such as their names or mentions of their condition and maintenance.",words related to physical structures such as bridges.
608,1,4308,"phrases related to evidence, archaeology, and writing tips.","mentions or references to a large quantity or group of something, such as ""mass"" or ""collecting"".",words or phrases related to large quantities or groups of people or things.,words related to large quantities or groups.,"terms related to large quantities or groups such as ""mass"" or ""collecting""."
609,1,4434,words or phrases related to classifications or rankings.,"words ending in ""ular"" or related to documentation or organization.","words or parts of words that are related to government or administrative processes, such as ""consular"", ""permit"", and ""sourced"".","words related to parts of speech, particularly words ending in 'ular' and 'ing'.","words related to specific forms or categories, such as ""consular"" or ""secular""."
610,1,4540,"words related to financial matters, such as rules, limits, and caps.","terms related to limits, restrictions, and allocations, particularly in the context of rules, spending, and financial caps.","words related to regulations, restrictions, and limits.","words related to rules, limitations, and caps, particularly in the context of financial or regulatory restrictions.","words related to rules, limits, and caps in financial or regulatory contexts."
611,1,5164,"occurances of the word ""within"" in the text.","instances of the word ""within"" in the context of indicating a location or boundary.",references to location or boundaries (either within a specific jurisdiction or within a particular region/geographical area).,phrases or words indicating location or boundaries.,words related to the concept of being within a specific boundary or jurisdiction.
612,1,5284,words or phrases related to currency conversion or financial transactions.,"words related to conversion, versions, and verticals.","tokens related to conversion, such as convert, converted, and conversion.","words related to conversions, transformations, and changes.",words related to conversion or transformation.
613,1,5786,"mentions of specific days, such as ""today"".","tokens related to the concept of time, specifically the present day (""today"").","tokens related to time and dates, particularly the word ""today"".","words related to time, specifically the current day or time.","tokens related to time, specifically the present day."
614,1,5972,"the word ""iff"".","specific letter sequences, particularly ""iff"" and ""aff"", which may indicate names, abbreviations, or specific terms.",words or tokens related to names or abbreviations.,names or abbreviations of companies or organizations.,"the substring ""iff"" within words."
615,1,6110,"words related to negative emotions, particularly fear and hesitation.","words related to emotions, particularly fear and desire.",words related to emotions such as fear and desire.,"words related to emotions and feelings, particularly fear, hesitation, and desire.","words related to emotions and personal experiences, particularly fear, hesitation, and desire."
616,1,6140,words or phrases related to scriptwriting and film production.,"words related to writing, scripts, authors, and the production process.","words related to writing, scripts, and authors.","words and phrases related to writing, scripts, and the process of creating a film or television show.","words related to writing, scripts, and authors."
617,1,6192,words related to projects and initiatives.,words related to planned or ongoing endeavors or initiatives.,words related to projects or initiatives.,words related to planned or ongoing projects or initiatives.,words related to projects or endeavors.
618,2,1065,"words related to the concept of delegates, including terms such as ""pledged,"" ""unpledged,"" and ""superdelegate.""",words ending in 'ged'.,"words associated with detachment or separation, such as ""unpledged"", ""dislodges"", and ""lurged"".",words related to detachment or separation.,words related to past tense verbs ending in 'ed' and present tense verbs ending in 'ing'.
619,2,1418,words related to wine and wine-related activities or events.,"tokens related to wine, such as specific wine-related words (e.g., wines, wine, sommelier), wine-related events or activities (e.g., grape stomp, wine bar), and reference to places or establishments associated with wine (e.g., wine navigator, vineyard).","references to wine-related terms such as ""wine"", ""vintage"", ""grapes"", ""vineyard"", and ""bar"".","words related to wine, vineyards, and wine-related terminology.","words related to the topic of wine, such as specific types of wine, wine-related professions, and wine-related events."
620,2,1995,"words related to privilege, oppression, and social issues.",words related to the concept of privilege and its various forms and implications.,mentions of the concept of privilege.,words related to social inequality and privilege.,words related to social privilege and oppression.
621,2,2146,information related to prices and cost.,terms related to monetary values and pricing.,tokens related to numerical values and prices.,words and information related to pricing and cost.,words related to pricing and costs.
622,2,2553,information related to sports events and awards ceremonies.,references to media outlets and events.,"references to photography or visual media such as ""Getty Images"" or ""photocall"".","references to media organizations, photography, and image sources.","references to specific events, organizations, and people."
623,2,2968,phrases related to improving environmental health and promoting urban environments.,"abbreviations or acronyms that are commonly used in online communication, such as ""IM"" for instant messaging.",abbreviations or acronyms ending in 'IM'.,"abbreviations or acronyms that include the letters ""IM"".",abbreviations or acronyms containing 'IM'.
624,2,3485,"references to locations or specific places, particularly corners or street corners.",mentions or descriptions of corners.,"words related to spatial locations or positions, particularly corners.","words related to physical locations or areas, specifically focusing on corners or edges.","words related to locations, specifically corners or places characterized by their corners."
625,2,3730,"words related to music instruments, specifically guitars, and words related to strength, determination, and standing up for oneself.","words related to various body parts, especially the guitar, spine, ass, and dad.","words associated with body parts, specifically the guitar, spine, ass, and dad.","words related to body parts, specifically ""guitar,"" ""spine,"" and ""ass,"" as well as mentions of family relationships like ""dad."" It may be looking for physical or relational references within the text.","words related to body parts, specifically guitar, spine, face, and ass."
626,2,3750,words related to computer programming languages or technology.,"words or partial words that contain ""ark"".","words that contain the letter sequence ""ark"".","tokens that are part of words or abbreviations related to technology or programming languages, specifically those containing ""ark"".","words or parts of words containing ""ark""."
627,2,4441,words or phrases related to celebrations or commemorations.,words related to the act of celebrating or celebration.,words related to joyful events or occasions such as celebrations.,"words related to joy, happiness, and special occasions.",words related to celebrations or commemorations.
628,2,4871,words related to violence or crime.,"words or parts of words that end with ""cher"".","words related to specific names or titles, potentially including names of movies, books, or characters.","words or parts of words related to specific names or terms - in this case, it seems to be focused on finding specific words such as ""Him,"" ""eeper,"" ""ched,"" ""Chosen,"" and ""aining.""","words related to the suffix ""-cher""."
629,2,5449,"words related to geographic locations or settings, particularly focusing on the term ""Western.""","locations or regions, specifically in the context of directions (e.g., western, eastern, northern).","words related to geographic locations, specifically Western regions.","words related to geographical locations, specifically regions or directions such as Western, Eastern, and Northern.","references to geographical locations, specifically those related to Western regions."
630,3,666,words related to criticism or strong opinions.,"the adverb ""absolutely"" and words related to technology and modernity.",words/phrases related to emphasis or strong affirmation.,adverbs that emphasize a degree or intensity.,adverbs that emphasize a strong degree or intensity.
631,3,1559,words or phrases related to preferences.,words related to personal choices or inclinations.,words or phrases related to personal choices or inclinations.,words related to personal choices or options.,words related to personal choices or selections.
632,3,2336,"words related to negative emotions, personal struggles, and potential dangers.","words related to water-related accidents or situations such as drowning, submerged, choking on vomit, and being stranded in water.",words related to accidents or incidents involving water-related activities such as drowning or being submerged.,"words and phrases related to dangerous situations involving water, such as drowning, swimming, submerged, and stranded.","words related to events or situations involving water, such as drowning, submerging, and being stranded in water."
633,3,3087,"information related to game mechanics and abilities, specifically related to spellcasting, attack rolls, and modifiers.","references or occurrences of the word ""roll"" in various contexts, including gaming, music, and other contexts.","words and phrases related to dice rolling, spell casting, and game mechanics, particularly in the context of tabletop role-playing games.","words related to dice rolls, spellcasting, and music genres associated with the term ""rock and roll"".",words or phrases related to rolling dice or random chance.
634,3,3958,words related to intense or extreme situations or conditions.,words related to unpredictability or untamed behavior.,"words related to a lack of control, unpredictability, or chaos.","phrases or words related to something exciting, unpredictable, or out of control.","words related to unpredictability, excitement, or unrestrained behavior."
635,3,4573,"phrases related to choices or preferences in food, physical attributes, or character knowledge and development.",words or phrases related to inclusivity or the idea that not everyone or everything is the same.,"phrases or sentences that include the word ""not all"" or ""not every"" to convey a sense of exception or negation.",words related to inclusivity or generalization.,"negations related to the concept of ""all"" or ""every""."
636,3,4932,words related to aviation and flying.,words related to the act of arriving or reaching a destination.,"words related to movement or transportation, such as ""landed"", ""parachutes"", and ""transport"".","words related to the act of arriving or reaching a destination, especially in the context of transportation.",words related to aviation and landings.
637,3,5364,terms related to pregnancy and maternal health.,words related to pregnancy and women's health.,"terms related to pregnancy, maternal health, and women's rights.","terms related to reproductive health and pregnancy, particularly focusing on keywords such as ""pregnancy,"" ""weeks,"" ""caesarian sections,"" ""maternal,"" ""mothers,"" and ""female.""","terms related to pregnancy, maternal health, and women's rights."
638,3,6080,information related to reservations and bookings.,"words related to bookings, reservations, and payment transactions.","tokens related to making bookings, reservations, payments, and refunds.","words related to bookings, payments, and reservations in various contexts.","terms related to making bookings, reservations, payments, and cancellations."
639,4,204,words related to seriousness or severity of a situation.,words related to seriousness and importance.,words or phrases related to seriousness or severity.,words related to seriousness or importance.,words related to seriousness or severity.
640,4,1826,words related to presenting additional information or providing examples.,words or phrases indicating additional information or progression in a sequence.,words or phrases that indicate additional information or transitions between different points or ideas.,transition and connecting words used to introduce additional information or provide further explanation.,transition words and phrases used to introduce additional information or connect ideas in a text.
641,4,2523,descriptions related to the interior design or features of a space or object.,words related to the design and features of indoor spaces.,"words related to the interior design or features of spaces, whether it be boats, buildings, or other objects.","words related to the design, layout, and characteristics of interior spaces.",words related to the design and features of interior spaces.
642,4,3172,words related to underwater activities or conditions.,"words related to being submerged or beneath the surface, such as ""underwater,"" ""underground,"" and ""water.""","words related to locations or environments, specifically focusing on ""underwater"" and ""underground"" contexts.",words or phrases related to being submerged or located beneath the surface.,words related to being or happening underwater or underground.
643,4,3935,terms related to presenting achievable solutions and redeemable systems.,words related to achievability or measurability.,phrases related to achieving or attaining goals or solutions.,adjectives or verbs that imply feasibility or quantifiability.,words related to the concept of achievability or measurability.
644,4,4994,instructions and guidelines related to software development and testing.,words related to recommendations or suggestions.,"words or phrases related to recommendations, endorsements, or suggestions.","words related to recommendations, endorsements, or suggestions.",words related to encouragement or recommendation.
645,4,5320,words and phrases related to left-handedness or left-oriented activities.,tokens related to hands and hand-related actions.,words or phrases related to hands or hand-related actions.,words and phrases related to hands or hand actions.,words or phrases related to the left side or left-handedness.
646,4,6168,"phrases related to software tools or features, such as ""SDK,"" ""API,"" ""repair tool,"" and ""post production professionals.""","punctuation marks such as ellipses (...) and question marks (?) that indicate pauses, uncertainty, or curiosity.","tokens related to technology, products, or tools.","punctuation marks and symbols, particularly ellipses (...) and question marks (?).",ellipsis (...) and other punctuation marks that indicate a continuation or omission in a sentence.
647,5,1066,phrases related to prompts or instructions.,"the token ""","text snippets that prompt action or engagement, such as asking questions or requesting participation.","the token ""","the special token """
648,5,1878,"words related to technical information and computer networks, specifically IP addresses and HTTP software.","punctuation marks, abbreviations, and repeated letters within words.","abbreviations, acronyms, or initials.","abbreviations or specific information like IP addresses, software versions, or media formats.",abbreviations and specific characters/symbols associated with written texts.
649,5,3132,words related to capturing a moment or taking a photograph.,instances of sudden or quick actions or captures.,words related to quick actions or capturing moments/images.,words related to capturing images or sudden actions.,words related to sudden actions or movements.
650,5,4942,words related to force or coercion.,words related to coercion or compulsion.,words or phrases related to coercion or being compelled to do something against one's will.,words related to coercion or compulsion.,"terms related to coercion, imposition, or manipulation."
651,5,5305,words related to demand or market trends.,"words related to supply and demand, indicating a focus on market dynamics and economic factors.",words related to market demand or consumer demand.,tokens related to market demand or the need for a product or service.,words related to economic or market demand.
652,6,4,words related to counting or quantifying.,words related to quantification or enumeration.,instances where something is being quantified or considered significant in some way.,words related to quantifying or considering something as important or significant.,instances where something is being quantified or evaluated.
653,6,573,phrases related to fitness training and conditioning.,words related to training and physical activities.,words related to training or learning activities.,"verbs related to teaching, instructing, and physical training.","terms related to training, fitness, conditioning, and learning from the given excerpts."
654,6,2500,"words related to passing or moving through something such as checkpoints, security, or transportation.",words related to movement or transfer from one place to another.,"verbs related to movement or action, particularly those related to passing or crossing.",actions related to movement or transfer.,"words related to movement or progression, particularly in the context of queues or passing."
655,6,3370,phrases related to political and governmental actions or statements.,"tokens related to actions or processes, specifically the verb ""getting"".",phrases or tokens related to acquiring or retrieving something.,tokens related to acquiring or obtaining something.,phrases related to acquiring or retrieving something.
656,6,4488,words or phrases related to locations or settings.,words or phrases that indicate uncertainty or possibility.,words related to possibility or uncertainty.,words or phrases indicating possibility or uncertainty.,"comparative words and phrases such as ""like,"" ""perhaps,"" ""more,"" and ""the."""
657,6,5810,words related to the extension of time or duration.,words related to something being prolonged or expanded.,words or phrases related to extension or prolongation.,words related to extension of time or duration.,words related to extending or prolonging something.
658,7,478,"conditional statements starting with ""Would"".","conditional statements and hypothetical scenarios where the word ""would"" is used.","conditional statements or questions using the word ""would"".",conditional statements or hypothetical situations.,"conditional statements and questions  with the keyword ""Would""."
659,7,3498,pronouns referring to a female subject.,"references to female pronouns, particularly the word ""she"".",pronouns referring to female individuals.,"pronouns, specifically the third-person singular pronoun ""she"".",pronouns referring to a female subject.
660,7,4372,"words related to characters and terms associated with dark and knight themes, such as ""Darkness"", ""Knight"", and ""armor"".","tokens related to the concept of knights and their associated themes such as armor, enemies, and legendary films.","words related to characters, titles, or terms related to knights or dark knights.","terms related to knights, armor, enemies, and the Dark Knight.","words related to darkness, knights, enemies, and armor."
661,7,5026,"phrases related to specific locations or cities, in this case, Madrid and Aleppo.","the presence of possessive markers such as ""has"" and ""grandfather"", indicating ownership or associations with someone/something.",words related to possession or ownership.,"the verb ""has"" and specific nouns such as ""grandfather"" and ""IS"".","the verb ""has"" in different contexts and its association with possessive pronouns or determiners."
662,7,6082,words related to crashes or sudden negative events.,words or phrases related to accidents or sudden impacts.,words related to accidents or abrupt failures.,"words related to sudden and negative events, particularly crashes or physical impacts.","words related to accidents such as ""crash"" and ""plane crash""."
663,8,982,"words or phrases related to reasons, causes, or explanations.","the conjunction ""because"".",phrases or clauses that indicate causation or reasons.,"the word ""because"" and the reason or explanation provided after it.",phrases or words related to providing reasons or explanations.
664,8,5702,references to books or literary works.,references to randomness or random events.,references to books and publishing.,"words related to books and publishing, particularly focusing on the mention of the word ""Random"" and the term ""book"".","references to specific book titles or publishing companies, as well as terms related to disabilities.."
665,9,5611,references to innocence and accusations.,words or phrases related to innocence or being accused wrongly.,words or phrases related to innocence or being falsely accused.,words related to innocence or being accused of a crime.,words or phrases associated with innocence or being wrongly accused.
666,10,223,terms related to technology and computer processors.,references to technology and specifically processors.,"words related to technology and computing, such as ""processor"", ""servers"", ""blockchain"", ""Ethereum"", and ""internet"".","words related to technology and computing, specifically related to processors and server functions.","terms related to technology, specifically related to processing power and servers."
667,10,4719,"words related to crafting and tools, particularly knives and folding knives.","references to tools, accessories, or objects that can be folded.","words related to tools, accessories, and equipment.",words related to folding or patterns.,"words related to tools, particularly knives and folding knives."
668,11,1923,words related to brain function and functionality.,words and phrases related to functionality and function.,"words related to functionality or functioning, which could refer to a variety of contexts such as brain function, website functionality, community functioning, or functional design.",words related to functionality or functionality-related concepts.,words related to functionality or functional aspects.
669,12,4536,words related to agreements or pacts and positive outcomes.,"words related to agreements or deals, often involving some form of exchange or negotiation, such as pacts and bargains.","words related to deals, agreements, or contracts.","words related to deals, agreements, or contracts.",words related to agreements or deals.
670,16,1874,"words related to international programs, specifically mentioning ""ISS"".","words related to employment, job opportunities, and legal terms.","words related to organizations, programs, and official terms.","tokens related to organizations or words with the ""iss"" pattern.","terms related to job opportunities, internships, and programs offered by organizations."
671,17,5078,"the word ""Well"" as a conversational filler or introduction.","the word ""Well"" used as an interjection or introductory phrase in a conversation or narrative.",phrases or words suggesting agreement or acknowledgment.,"the use of the word ""Well"" as an interjection or introductory phrase.","expressions indicating agreement, confirmation, or acknowledgement."
672,18,2828,"mentions of specific yard measurements, specifically ""5 yard"" and ""big yard"" in different contexts.","references to measurements or distances, particularly related to the word 'yard'.","references to measurements and distances, such as yards or centimeters."," measurements or distance-related terms, particularly involving the word ""yard.""",units of measurement related to distance or space.
673,19,3866,words related to camera settings and configurations.,words related to configuration options and customization settings.,"words related to settings, configurations, and adjustments.",tokens related to configuration or adjustment options/settings.,words related to settings and configurations.
674,20,4253,words related to legal settlements and financial matters.,"occurrences of the word ""settlement"" in different contexts, including legal and financial contexts.",words related to legal settlements or agreements.,"terms related to legal agreements or resolutions, specifically settlements.",instances of legal or financial agreements.
675,21,5729,"words related to hero figures or titles in various contexts, such as movies, games, and books.","words or phrases related to titles, names, or designations.","terms related to titles, names, and identifiers, such as names of games, movies, songs, and characters.","words related to titles, series, and sequels, particularly those with the term ""Hero"" or numbers.","titles or keywords related to heroes, characters, and series."
676,22,4709,"mentions of the word ""Burnham"".",words related to burning or heat-related activities.,words related to burning or destruction.,words related to fire or destruction.,words related to burning or combustion.
677,24,2960,"words related to professional services, specifically providing consultation and presentations.","words related to professional services and interactions, specifically related to consultations, workshops, presentations, and services provided by qualified providers.","words related to professional services, such as workshops, consultation, presentations, and services.","words related to professional services and interactions, such as workshops, consultation, presentations, firm, and provider.","words related to professional services and interactions, such as workshops, consultation, presentations, and consulting."
678,25,1818,"the word ""river"" or variations of it.",tokens related to rivers or bodies of water.,words related to people's names or surnames.,"tokens or parts of tokens that contain the sequence ""iver"".",words or parts of words that contain the sequence of 'iver'.
679,26,3774,words related to email communication and legal matters.,"tokens related to words/names that end with ""-iano"".","words or tokens related to personal names, possibly with a focus on surnames.","names or words ending with ""iano"".",tokens related to names or terms that end in 'iano'.
680,26,5947,words or phrases related to computer programming and input/output operations.,"words related to input, such as ""input"", ""specify"", or ""formats"".",references to input or input-related terms and functions.,terms related to user input or data.,words related to input and output.
681,27,1698,phrases related to sports news and information.,words related to sports or sporting events.,words related to sports.,words related to sports or sports-related activities.,words related to sports.
682,28,2186,terms related to military operations and water-related activities.,"tokens related to water activities and associated risks, such as swimming, drowning, and specific terms like Navy SEALs.","words related to military operations, including terms like ""Navy SEALs,"" ""launch,"" ""attack,"" ""military field,"" and ""combat identification.""",words and phrases related to water activities and military operations.,"terms related to military operations and water activities, specifically Navy SEALs and drowning."
683,46,5959,words related to the usage of cookies and consent.,"words related to the action of using something or the mention of the word ""use"" in text.",phrases related to the usage or utilization of something.,words related to the usage or application of something.,"occurrences of the word ""use"" in various contexts."
684,0,221,terms related to public information or awareness.,"tokens related to public information, public announcements, and public ownership.",words or phrases related to the general public and public information.,"words related to public-related matters such as publicized, public health, public warning, and public shareholders.","words related to the concept of public, such as publicized, public health warning, public shareholders, and public sidewalk."
685,0,1566,words and phrases related to discomfort or uneasiness.,words and phrases related to uneasiness or discomfort.,words related to feelings of unease or discomfort.,words and phrases related to discomfort or unease.,"words related to discomfort, uneasiness, and tension."
686,0,1851,words related to pride and identity.,"tokens related to personal names and terms associated with pride or affiliation, such as ""Proud"" and names such as ""Bernie Sanders"".",tokens related to pride or a sense of pride and identity.,"terms related to people's names, specifically the last names ""Proud"" and ""Sanders"".",names and terms related to pride or identity.
687,0,2348,words and phrases related to online gaming and advertisements.,"words or phrases related to instructions or commands, specifically ones that indicate stopping or taking action.","words related to commands or instructions, such as ""swipe,"" ""stop,"" and ""check out.""","words related to commands or actions, particularly those related to stopping or posting.",stop signals or commands.
688,0,3072,"references to specific time periods or dates, particularly the month of December.","mentions of months, specifically December.",references to specific months in texts.,"words related to specific months, particularly the month of December.","months and dates, specifically the word ""December""."
689,0,3837,words related to the concept of going backwards or reverse.,"the occurrence of the word ""backwards"" in different contexts.","words or phrases related to the concept of ""backwards"" or reversing.",words or phrases related to backward direction or actions.,"words or phrases related to the direction or position of ""backwards""."
690,0,4699,mentions of spokespersons or officials speaking about various issues.,tokens related to spokespersons or representatives giving statements or providing information on behalf of an organization or government entity.,words related to spokespersons or officials representing an organization or government.,"words related to communication and representation, particularly individuals representing or speaking on behalf of an organization or group.",people or representatives who provide official statements or information on behalf of an organization or government.
691,0,4931,words related to reduction or decreasing.,words related to reducing or cutting.,words related to actions of reducing or cutting.,"words related to modifying or changing something, particularly by reducing or cutting.",verbs or phrases related to reducing or decreasing something.
692,0,5430,"references to the name ""Trump"".","mentions of the word ""Trump"" in the text excerpts.",references to and mentions of Donald Trump.,"the name ""Trump"".","references to the name ""Trump""."
693,0,5833,"words related to building features and architecture, specifically focusing on windows.","words related to windows, particularly in the context of buildings or structures.","words related to architectural features, specifically windows.","words related to architectural elements, particularly windows.","words related to architectural elements, specifically windows."
694,1,111,words related to taxes and the IRS.,references to the Internal Revenue Service (IRS) and taxation.,"words related to taxes, the Internal Revenue Service (IRS), and financial regulations.","terms and phrases related to tax, specifically related to the IRS and taxpayers.","terms related to taxes and tax-related entities, such as the IRS, taxpayers, and tax treatment."
695,1,296,words related to fulfilling or meeting needs or desires.,"words related to meeting needs or desires, and achieving satisfaction.","words related to fulfilling or meeting needs, desires, or expectations.","words related to meeting needs, desires, or expectations.","terms related to fulfilling or meeting needs, desires, or expectations."
696,1,569,words and phrases related to collaboration and partnership.,"words related to collaboration, partnership, and teamwork.","words and phrases related to collaboration, teamwork, and partnerships.","words related to collaboration, teamwork, and partnerships.",words related to collaboration and partnerships.
697,1,772,information related to environmental conservation and outdoor activities.,"tokens related to the environment, including words like ""env"", ""environment"", and ""jeopardy"" which might refer to environmental issues.","mentions of words related to the environment, such as ""environment"", ""env"", ""bc parks"", ""serious environmental charges"", ""transportation and environment"", and ""professional environment"".","words related to the environment, including references to websites, natural surroundings, and professional settings.","words related to the environment, such as env, environment, and space."
698,1,878,words and phrases related to programming and data binding in Angular.,"tokens related to data binding, configuration, and restrictions/limitations.","tokens related to computer programming and software development, such as specific terms, syntax, and features.","tokens related to programming and data binding, specifically within the context of the Angular framework.","keywords related to programming and data binding in various contexts, such as Angular, HTML, and code documentation."
699,1,1137,mentions of musical artists or songs.,"words related to achievements or accomplishments, often expressed through terms like ""feat"" or ""somehow"".",words related to accomplishments or notable achievements.,"words related to music collaborations or features (feat), as well as the word ""somehow"" which indicates a sense of uncertainty or ambiguity.","tokens related to music genres and collaborations, specifically looking for words like ""feat"" and artist or band names."
